platform_id,platform,category,protocol,api_surface,automation_method,tier,country
IN-dataman-computer-systems-pvt,Dataman Computer Systems Pvt. Ltd.,Pharmacy,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-datamate-info-solutions,Datamate Info Solutions Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-datasoftline-pvt,Datasoftline Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-department-of-homoeopathy-govt-of-kerala,"Department of Homoeopathy, Govt of Kerala",HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-destratum-solutions-private,Destratum Solutions Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-digicare-healthcare-solutions-private,Digicare Healthcare Solutions Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-docon-technologies-pvt,DocOn Technologies Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-docplix-solutions-pvt,Docplix Solutions Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-docterz-health-tech-labs-pvt,Docterz Health-Tech Labs Pvt Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-dreamsoft4u-private,DreamSoft4u Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-egerp-informatics-pvt,EGERP INFORMATICS PVT LTD,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-enlacecode-technology-pvt,ENLACECODE TECHNOLOGY PVT LTD,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-eva-soft-private,EVA SOFT PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-easy-solution-infosystems-private,Easy Solution Infosystems Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-entro-labs-it-solutions-pvt,Entro Labs IT Solutions Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-equeue-technosolutions-private,Equeue Technosolutions Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-equilym-technologies-private,Equilym Technologies Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-existence-software-solution-pvt,Existence Software Solution Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-expedien-esolutions,Expedien eSolutions,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-fortis-healthcare,Fortis Healthcare,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-forus-health-pvt,Forus Health Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-founding-minds-pvt,Founding Minds Pvt. Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-framework-futuristic-pvt,Framework Futuristic Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-gj-global-it-ventures-pvt,GJ Global IT Ventures Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-godhani-infotech,GODHANI INFOTECH,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-grapes-innovative,Grapes Innovative Solutions.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-gravity-web-technologies-pvt,Gravity Web Technologies Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-hanuram-healthtech-private,HANURAM HEALTHTECH PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-healthcare-global-enterprises,HEALTHCARE GLOBAL ENTERPRISES LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-helyxon-healthcare-solutions-private,HELYXON HEALTHCARE SOLUTIONS PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-helyxon-healthcare-solutions-private,HELYXON HEALTHCARE SOLUTIONS PRIVATE LIMITED,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-hisp-emr,HISP-EMR,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-hll-lifecare-limited-a-government-of-india-enterprise,HLL Lifecare Limited (A Government of India Enterprise),HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-hll-lifecare,HLL Lifecare Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-hll-lifecare,HLL Lifecare Ltd,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-hlthtek-optimus-private,HLTHTek Optimus Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-holofx-consulting-private,HOLOFX CONSULTING PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-hamsa-soham-health-care-pvt,Hamsa Soham Health Care Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-healtether-healthcare-services-private,HealTether Healthcare Services Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-health-family-welfare-department-government-of-tripura,"Health & Family Welfare Department, Government of Tripura",HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-health-family-welfare-department-government-of-tripura,"Health & Family Welfare Department, Government of Tripura",LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-health-smarttech-private,Health Smarttech Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-healthixio,Healthixio,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-healthvalors-technosoft-private,Healthvalors Technosoft Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-healthvalors-technosoft-private,Healthvalors Technosoft Private Limited,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-hunnarvi-technologies-private,Hunnarvi Technologies Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-i-medicus-india-private,I-MEDICUS INDIA PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-ihx-health-repository-provider,IHX Health Repository Provider,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-infuture-com,INFUTURE.COM,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-iplit-solutions,IPLit Solutions LLP,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-iplit-solutions,IPLit Solutions LLP,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-iq-line-private,IQ-Line Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-iq-line-private,IQ-Line Private Limited,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-iqvia,IQVIA,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-ishaa-infinity-software-technologies,ISHAA INFINITY SOFTWARE TECHNOLOGIES LLP,Connectors,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-ishaa-infinity-software-technologies,ISHAA INFINITY SOFTWARE TECHNOLOGIES LLP,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-itdose-infosystems-pvt,ITDOSE INFOSYSTEMS Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-itdose-infosystems-pvt,ITDOSE INFOSYSTEMS Pvt. Ltd.,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-itsc-technologies-pvt,ITSC Technologies Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-itsc-technologies-pvt,ITSC Technologies Pvt. Ltd.,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-integrated-health-management-system,Integrated Health Management System,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-jpr-systems-pvt,JPR SYSTEMS PVT LTD,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-jupiter-lifeline-hospitals,JUPITER LIFELINE HOSPITALS LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-jdeanz-healthtech-pvt,Jdeanz Healthtech Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-jdeanz-healthtech-pvt,Jdeanz Healthtech Pvt. Ltd.,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-jdeanz-healthtech-pvt,Jdeanz Healthtech Pvt. Ltd.,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-jdeanz-healthtech-pvt,Jdeanz Healthtech Pvt. Ltd.,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-kranium-healthcare-systems-pvt,KRANIUM HEALTHCARE SYSTEMS PVT LTD,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-karkinos-application-suite,Karkinos Application Suite,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-karnavati-software-technologies-pvt,Karnavati Software Technologies Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-karnavati-software-technologies-pvt,Karnavati Software Technologies Pvt. Ltd.,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-kulcare-india-private,Kulcare India Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-kyrocare-healthtech-private,Kyrocare Healthtech Private Limited,Connectors,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-kyrocare-healthtech-private,Kyrocare Healthtech Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-kyrocare-healthtech-private,Kyrocare Healthtech Private Limited,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-lsg-associate,LSG Associate,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-linkedcare-chc-private,Linkedcare CHC Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-linkedcare-chc-private,Linkedcare CHC Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
